week_id,sales1_name,factor
1,Existing Loyal KC,-33877166.8
2,Existing Loyal KC,-11454190.65
3,Existing Loyal KC,-14556292.26
4,Existing Loyal KC,-37987293.41
5,Existing Loyal KC,-33877166.8
6,Existing Loyal KC,-11454190.65
7,Existing Loyal KC,-14556292.26
8,Existing Loyal KC,-37987293.41
9,Existing Loyal KC,-7491907.666
10,Existing Loyal KC,15717195.25
11,Existing Loyal KC,-11698852.12
12,Existing Loyal KC,-3731098.869
13,Existing Loyal KC,-3681048.823
14,Existing Loyal KC,-28321400.92
15,Existing Loyal KC,-12995232.14
16,Existing Loyal KC,-10041689.95
17,Existing Loyal KC,-712543.1735
18,Existing Loyal KC,-7397632.204
19,Existing Loyal KC,-122206.0416
20,Existing Loyal KC,-11582307.48
21,Existing Loyal KC,-33008639.5
22,Existing Loyal KC,-25571007.57
23,Existing Loyal KC,-7628780.668
24,Existing Loyal KC,44286444.11
25,Existing Loyal KC,-20894238.59
26,Existing Loyal KC,-43852563.42
27,Existing Loyal KC,-29523174.53
28,Existing Loyal KC,35588817.97
29,Existing Loyal KC,-37320035.4
30,Existing Loyal KC,-34750383.19
31,Existing Loyal KC,588232.7185
32,Existing Loyal KC,56407199.15
33,Existing Loyal KC,-21986034.01
34,Existing Loyal KC,-35771686.9
35,Existing Loyal KC,-52259245.36
36,Existing Loyal KC,-21281356.78
37,Existing Loyal KC,-29664907.94
38,Existing Loyal KC,-35418858.29
39,Existing Loyal KC,-8419133.869
40,Existing Loyal KC,-31071092.93
41,Existing Loyal KC,-8312477.716
42,Existing Loyal KC,13721539.11
43,Existing Loyal KC,-29270240.58
44,Existing Loyal KC,-35828552.86
45,Existing Loyal KC,60103809.71
46,Existing Loyal KC,62905120.27
47,Existing Loyal KC,166028536.2
48,Existing Loyal KC,133794724.6
49,Existing Loyal KC,127422298.7
50,Existing Loyal KC,177519063.7
51,Existing Loyal KC,103611647.8
52,Existing Loyal KC,-13734383.96
1,Existing Loyal NKC,12919404.66
2,Existing Loyal NKC,12928410.69
3,Existing Loyal NKC,12951137.17
4,Existing Loyal NKC,12908451.46
5,Existing Loyal NKC,12919404.66
6,Existing Loyal NKC,12928410.69
7,Existing Loyal NKC,12951137.17
8,Existing Loyal NKC,12908451.46
9,Existing Loyal NKC,14245324.93
10,Existing Loyal NKC,14257269.9
11,Existing Loyal NKC,19963022.92
12,Existing Loyal NKC,15212947.41
13,Existing Loyal NKC,15249028.8
14,Existing Loyal NKC,15232128.13
15,Existing Loyal NKC,15301572.14
16,Existing Loyal NKC,15222365.6
17,Existing Loyal NKC,15252258.7
18,Existing Loyal NKC,17720021.19
19,Existing Loyal NKC,14386175.66
20,Existing Loyal NKC,14399451.54
21,Existing Loyal NKC,14400356.33
22,Existing Loyal NKC,14906905.15
23,Existing Loyal NKC,14888231.82
24,Existing Loyal NKC,18238669.19
25,Existing Loyal NKC,18233691.58
26,Existing Loyal NKC,14846785.09
27,Existing Loyal NKC,13887933.05
28,Existing Loyal NKC,13894411.49
29,Existing Loyal NKC,13921615.54
30,Existing Loyal NKC,13969262.26
31,Existing Loyal NKC,16848001.18
32,Existing Loyal NKC,16823795.05
33,Existing Loyal NKC,16824734.34
34,Existing Loyal NKC,16813213.52
35,Existing Loyal NKC,16778747.99
36,Existing Loyal NKC,14830788.4
37,Existing Loyal NKC,14824514.09
38,Existing Loyal NKC,14804499.92
39,Existing Loyal NKC,14852811.35
40,Existing Loyal NKC,14845708.36
41,Existing Loyal NKC,14835909.94
42,Existing Loyal NKC,14829036.2
43,Existing Loyal NKC,14840410.89
44,Existing Loyal NKC,26108551.7
45,Existing Loyal NKC,26135685.16
46,Existing Loyal NKC,26178966.94
47,Existing Loyal NKC,26634434.72
48,Existing Loyal NKC,26449090.8
49,Existing Loyal NKC,34265886.26
50,Existing Loyal NKC,34441705.72
51,Existing Loyal NKC,34344630.92
52,Existing Loyal NKC,34094592.5
1,Existing Non-Loyal KC,-32840200.82
2,Existing Non-Loyal KC,-15519749.27
3,Existing Non-Loyal KC,-20729470.79
4,Existing Non-Loyal KC,-35676855.16
5,Existing Non-Loyal KC,-32840200.82
6,Existing Non-Loyal KC,-15519749.27
7,Existing Non-Loyal KC,-20729470.79
8,Existing Non-Loyal KC,-35676855.16
9,Existing Non-Loyal KC,12120849.27
10,Existing Non-Loyal KC,27029212.62
11,Existing Non-Loyal KC,-582077.6793
12,Existing Non-Loyal KC,20336209.23
13,Existing Non-Loyal KC,13763450.44
14,Existing Non-Loyal KC,3997595.733
15,Existing Non-Loyal KC,12444555.05
16,Existing Non-Loyal KC,-3104744.473
17,Existing Non-Loyal KC,-59476.32307
18,Existing Non-Loyal KC,722701.2989
19,Existing Non-Loyal KC,16628249.84
20,Existing Non-Loyal KC,9124716.905
21,Existing Non-Loyal KC,-4051757.315
22,Existing Non-Loyal KC,7409636.513
23,Existing Non-Loyal KC,8670095.246
24,Existing Non-Loyal KC,5977515.729
25,Existing Non-Loyal KC,3052624.193
26,Existing Non-Loyal KC,16899541.22
27,Existing Non-Loyal KC,-5972459.044
28,Existing Non-Loyal KC,4159809.414
29,Existing Non-Loyal KC,-18084446.31
30,Existing Non-Loyal KC,-13871802.54
31,Existing Non-Loyal KC,3127567.779
32,Existing Non-Loyal KC,19143634.77
33,Existing Non-Loyal KC,-5854891.746
34,Existing Non-Loyal KC,-7046939.282
35,Existing Non-Loyal KC,-11427183.53
36,Existing Non-Loyal KC,9936406.247
37,Existing Non-Loyal KC,2757491.39
38,Existing Non-Loyal KC,-1203846.093
39,Existing Non-Loyal KC,9757668.049
